uid,state,ll,elev,name
18,CO,"[-107.76028, 37.14306]",6670.0,DURANGO LA PLATA COUNTY AP
19,CO,"[-105.03333, 40.58333]",4929.0,FORT COLLINS AP
20,CO,"[-105.01667, 40.45]",5015.0,FORT COLLINS LOVELAND AP
21,CO,"[-108.54, 39.1342]",4858.0,GRAND JUNCTION WALKER FIELD
22,CO,"[-102.68747, 38.07178]",3688.0,LAMAR MUNICIPAL AP
23,CO,"[-107.89889, 38.50583]",5720.0,MONTROSE REGIONAL AP
24,CO,"[-107.71972, 39.52778]",5522.0,RIFLE GARFIELD COUNTY AP
137,CO,"[-104.6575, 39.8328]",5414.0,DENVER INTL AP
257,CO,"[-105.2667, 39.9919]",5484.0,BOULDER
258,CO,"[-105.2255, 38.4599]",5378.0,CANON CITY
259,CO,"[-105.2783, 39.2202]",6880.0,CHEESMAN
260,CO,"[-102.3329, 38.85753]",4203.0,CHEYENNE WELLS 2NE
261,CO,"[-107.96306, 39.2425]",5980.0,COLLBRAN
262,CO,"[-106.30791, 37.69099]",7845.0,DEL NORTE 3ENE
263,CO,"[-106.0353, 39.6261]",9065.0,DILLON 1 E
264,CO,"[-102.777, 38.4759]",4212.0,EADS
265,CO,"[-103.86987, 40.25694]",4376.0,FORT MORGAN
266,CO,"[-108.728, 39.14449]",4498.0,FRUITA
267,CO,"[-106.9672, 38.5254]",7622.0,GUNNISON 3SW
268,CO,"[-107.095, 37.74933]",8949.0,HERMIT 8 SE
269,CO,"[-102.1316, 38.0517]",3401.0,HOLLY
270,CO,"[-103.2152, 38.0635]",3890.0,LAS ANIMAS
271,CO,"[-105.94013, 37.1712]",7695.0,MANASSA
272,CO,"[-107.8791, 38.4858]",5789.0,MONTROSE NO 2
273,CO,"[-106.15122, 38.09208]",7741.0,SAGUACHE
274,CO,"[-106.8233, 40.4883]",6866.0,STEAMBOAT SPRINGS
275,CO,"[-107.8736, 37.9493]",8646.0,TELLURIDE 4WNW
276,CO,"[-104.487, 37.1787]",6030.0,TRINIDAD
277,CO,"[-102.20699, 40.08201]",3553.0,WRAY
430,CO,"[-105.0857, 40.5763]",5004.0,FORT COLLINS
458,CO,"[-107.78528, 39.54472]",5435.0,RIFLE
3586,CO,"[-102.06667, 37.03333]",3576.0,EVERSOLL RANCH
3587,CO,"[-102.55367, 37.01029]",4105.0,CAMPO 7 S
3588,CO,"[-103.88333, 37.01667]",6280.0,BRANSON
3589,CO,"[-104.48861, 37.01833]",7580.0,WOOTTON RANCH
3590,CO,"[-104.5, 37.03333]",7005.0,MORLEY CFI
3591,CO,"[-105.63333, 37]",7575.0,JAROSO
3592,CO,"[-105.73333, 37]",7390.0,JAROSO 5 W
3593,CO,"[-106.45, 37.01667]",10015.0,CUMBRES
3594,CO,"[-107.41667, 37.01667]",6184.0,ARBOLES
3595,CO,"[-102.23333, 37.06667]",4375.0,CAMPO 21 E
3596,CO,"[-103.3, 37.13333]",5610.0,TROY 1 SE
3597,CO,"[-105.05299, 37.07273]",8244.0,TERCIO 4 NW
3598,CO,"[-105.75, 37.08333]",7434.0,LOBATOS BRIDGE
3599,CO,"[-106.26667, 37.08333]",8566.0,RIVER SPRINGS RANGER STN
3600,CO,"[-104.75, 37.11667]",6906.0,SARCILLO
3601,CO,"[-104.85, 37.11667]",7005.0,WESTON CF&I
3602,CO,"[-106.03333, 37.13333]",7907.0,CONEJOS 3 NNW
3603,CO,"[-107.62639, 37.13639]",6460.0,IGNACIO 1 N
3604,CO,"[-108.18333, 37.11667]",6624.0,KLINE 3W
3605,CO,"[-104.51667, 37.18333]",6050.0,TRINIDAD RIVER
3606,CO,"[-104.5568, 37.1502]",6310.0,TRINIDAD LAKE
3607,CO,"[-103.48333, 37.2]",5810.0,KIM 5 SW
3608,CO,"[-103.8, 37.23333]",5600.0,BOX RANCH
3609,CO,"[-105.05, 37.21667]",8806.0,NORTH LAKE
3610,CO,"[-105.4242, 37.1954]",7943.0,SAN LUIS 1 S
3611,CO,"[-107.26667, 37.21667]",6663.0,STATE TURKEY EXP FAR
3612,CO,"[-107.3, 37.2]",6555.0,CHIMNEY ROCK
3613,CO,"[-107.85, 37.2]",6463.0,DURANGO KIUP
3614,CO,"[-108.0514, 37.2309]",7614.0,FORT LEWIS
3615,CO,"[-108.4893, 37.1996]",7142.0,MESA VERDE NP
3616,CO,"[-103.08333, 37.23333]",5180.0,PRITCHETT 16 SW
3617,CO,"[-102.18639, 37.29306]",3802.0,STONINGTON
3618,CO,"[-102.61667, 37.28333]",4505.0,SPRINGFIELD 8 S
3619,CO,"[-103.03333, 37.26667]",5003.0,UTLEYVILLE
3620,CO,"[-104.3378, 37.2622]",5741.0,TRINIDAD AP
3621,CO,"[-104.38333, 37.26667]",5705.0,HOEHNE
3622,CO,"[-106.9941, 37.2537]",7129.0,PAGOSA SPRINGS 1SE
3623,CO,"[-107.01028, 37.26611]",7052.0,PAGOSA SPRINGS #2
3624,CO,"[-107.86667, 37.28333]",6502.0,DURANGO 14TH ST
3625,CO,"[-102.71667, 37.31667]",4393.0,SPRINGFIELD 8 SW
3626,CO,"[-102.2986, 37.3822]",3978.0,WALSH 1 W
3627,CO,"[-102.74278, 37.36944]",4622.0,SPRINGFIELD 7 WSW
3628,CO,"[-103.88333, 37.38333]",5130.0,DOHERTY RANCH
3629,CO,"[-105.1, 37.38333]",8205.0,CUCHACA CAMPS
3630,CO,"[-106.4, 37.38333]",9308.0,SILVER LAKES TROUT CLU
3631,CO,"[-106.53333, 37.35]",9834.0,PLATORO
3632,CO,"[-106.53333, 37.35]",9895.0,PLATORO DAM
3633,CO,"[-107.5812, 37.3805]",7644.0,VALLECITO DAM
3634,CO,"[-107.6593, 37.3789]",8110.0,LEMON DAM
3635,CO,"[-108.3161, 37.335]",6897.0,MANCOS 1SW
3636,CO,"[-108.595, 37.3444]",6167.0,CORTEZ
3637,CO,"[-103.88333, 37.38333]",5131.0,CROWDER RANCH
3638,CO,"[-102.61667, 37.4]",4411.0,SPRINGFIELD
3639,CO,"[-105.43333, 37.43333]",,FORT GARLAND
3640,CO,"[-105.51667, 37.43333]",,FORT GARLAND
3641,CO,"[-105.5718, 37.4787]",7709.0,BLANCA 4 NW
3642,CO,"[-106.6, 37.43333]",11358.0,SUMMITVILLE
3643,CO,"[-107.15, 37.43333]",8094.0,PALISADE LAKES 6 SSE
3644,CO,"[-102.68333, 37.48333]",4462.0,HARMON RANCH
3645,CO,"[-102.88333, 37.45]",4954.0,GRAFT 2NNE
3646,CO,"[-103.322, 37.4536]",5190.0,KIM 15 NNE
3647,CO,"[-105.16667, 37.46667]",9242.0,LA VETA PASS
3648,CO,"[-105.8613, 37.4389]",7533.0,ALAMOSA-BERGMAN FIELD
3649,CO,"[-105.88333, 37.48333]",7531.0,ALAMOSA 1 NW
3650,CO,"[-105.88333, 37.46667]",7536.0,ALAMOSA
3651,CO,"[-106.15, 37.48333]",7675.0,MONTE VISTA REFUGE
3652,CO,"[-106.79056, 37.47444]",10640.0,WOLF CREEK PASS 1 E
3653,CO,"[-106.86667, 37.48333]",9436.0,WOLF CREEK PASS 4 W
3654,CO,"[-108.4975, 37.47528]",6950.0,DOLORES
3655,CO,"[-105, 37.5]",7034.0,LA VETA
3657,CO,"[-106.05, 37.53333]",,MONTE VISTA
3658,CO,"[-107.78333, 37.51667]",7300.0,TACOMA
3659,CO,"[-102.4, 37.56667]",4134.0,TWO BUTTES
3660,CO,"[-105.18333, 37.58333]",8870.0,MULE SHOE LODGE 1 SSE
3661,CO,"[-106.18656, 37.58114]",7695.0,MONTE VISTA 2W
3662,CO,"[-106.2, 37.56667]",,MONTE VISTA
3663,CO,"[-107.8, 37.55]",8406.0,ELECTRA LAKE
3664,CO,"[-108.75511, 37.5217]",6933.0,YELLOW JACKET 2W
3665,CO,"[-108.7841, 37.5875]",6860.0,PLEASANT VIEW 1W
3666,CO,"[-104.01667, 37.63333]",5092.0,DELHI
3667,CO,"[-104.79566, 37.6303]",6292.0,WALSENBURG 1 NW
3668,CO,"[-106.15, 37.61667]",7654.0,MONTE VISTA 2 N
3669,CO,"[-107.81667, 37.61667]",8005.0,CASCADE #2
3670,CO,"[-108.88333, 37.6]",,ATKINSON RANCH
3671,CO,"[-102.53333, 37.65]",4252.0,TWO BUTTES RESERVOIR
3672,CO,"[-103.91667, 37.66667]",4830.0,TIMPAS 13 SW
3673,CO,"[-103.95, 37.68333]",4473.0,BLOOM
3674,CO,"[-104.78333, 37.61667]",,WALSENBURG
3675,CO,"[-105.8, 37.65]",7536.0,SAN LUIS LAKES 3W
3676,CO,"[-106.46667, 37.68333]",7980.0,DEL NORTE 6 W
3677,CO,"[-107.8, 37.66667]",8855.0,CASCADE
3678,CO,"[-108.03861, 37.71306]",8800.0,RICO
3679,CO,"[-104.53333, 37.71667]",,CUCHARAS DAM
3680,CO,"[-105.5119, 37.7332]",8183.0,GREAT SAND DUNES NATIONAL PARK AND PRESERVE
3681,CO,"[-106, 37.71667]",7585.0,GARNETT
3682,CO,"[-106.14444, 37.70667]",7673.0,CENTER 4 SSW
3683,CO,"[-107.2667, 37.722]",9492.0,RIO GRANDE RESERVOIR
3684,CO,"[-103.46667, 37.75]",4252.0,HIGBEE 2 SW
3685,CO,"[-104.08333, 37.78333]",,WHITE ROCK
3686,CO,"[-104.6, 37.75]",5845.0,CUCHARAS DAM
3687,CO,"[-105.18333, 37.76667]",6965.0,GARDNER
3693,CO,"[-106.83333, 37.8]",8507.0,WAGON WHEEL GAP 3 N
3694,CO,"[-107.1097, 37.8226]",9687.0,SANTA MARIA RESERVOIR
3695,CO,"[-107.6633, 37.8088]",9285.0,SILVERTON
3696,CO,"[-107.88333, 37.83333]",9699.0,TROUT LAKE
3697,CO,"[-109.0132, 37.8123]",6681.0,NORTHDALE
3698,CO,"[-104.1138, 37.8673]",4715.0,WHITE ROCK
